Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
5/16/2025 0:44,125665,-360,17.92014146,1
5/16/2025 0:44,125644,-357,17.96084929,1
5/16/2025 0:44,125846,-145,18.00034618,1
5/16/2025 0:44,126272,263,18.04087186,1
5/16/2025 0:44,126680,629,18.08052015,1
5/16/2025 0:44,126963,855,18.12090397,1
5/16/2025 0:44,127167,993,18.16006613,1
5/16/2025 0:44,127299,1055,18.20054269,1
5/16/2025 0:44,127366,1052,18.24042082,1
5/16/2025 0:44,127434,1050,18.28052878,1
5/16/2025 0:44,127259,820,18.32045269,1
5/16/2025 0:44,125435,-941,18.3606565,1
5/16/2025 0:44,124619,-1647,18.40008497,1
5/16/2025 0:44,124477,-1677,18.44009161,1
5/16/2025 0:44,124741,-1325,18.48037481,1
5/16/2025 0:44,124965,-1032,18.52060556,1
5/16/2025 0:44,125297,-656,18.56004119,1
5/16/2025 0:44,125515,-411,18.60009265,1
5/16/2025 0:44,125409,-485,18.64078975,1
5/16/2025 0:44,125305,-552,18.68080425,1
5/16/2025 0:44,125462,-370,18.72009873,1
5/16/2025 0:44,125816,-15,18.76043916,1
5/16/2025 0:44,126215,360,18.80091166,1
5/16/2025 0:44,126568,668,18.8400712,1
5/16/2025 0:44,126825,868,18.88002801,1
5/16/2025 0:44,126999,977,18.92008185,1
5/16/2025 0:44,127165,1071,18.96011376,1
5/16/2025 0:44,127296,1127,19.00071192,1
5/16/2025 0:44,126851,640,19.04056931,1
5/16/2025 0:44,124903,-1227,19.08081484,1
5/16/2025 0:44,123807,-2177,19.1209147,1
5/16/2025 0:44,123804,-2044,19.16071129,1
5/16/2025 0:44,124228,-1519,19.20057249,1
5/16/2025 0:44,124528,-1143,19.24054861,1
5/16/2025 0:44,124871,-750,19.28006768,1
5/16/2025 0:44,125093,-495,19.32056522,1
5/16/2025 0:44,125093,-464,19.36109757,1
5/16/2025 0:44,125165,-367,19.40055799,1
5/16/2025 0:44,125487,-42,19.44057679,1
5/16/2025 0:44,125971,414,19.49030662,1
5/16/2025 0:44,126395,786,19.53056383,1
5/16/2025 0:44,126702,1024,19.57043958,1
5/16/2025 0:44,126917,1162,19.61008215,1
